rank	a	b	count	p_b_given_a
1	a	ä	2418	0.921143
2	n	ń	1286	0.919886
3	y	ý	1263	0.901499
4	i	ı	1224	0.940815
5	s	ş	971	0.905784
6	ı	i	761	0.936039
7	ý	y	438	0.931915
8	g	ǵ	300	0.920245
9	ń	n	290	0.935484
10	o	ö	258	0.462366
11	o	ó	250	0.448029
12	ǵ	g	230	0.909091
13	ó	o	167	0.917582
14	ú	u	154	0.922156
15	u	ü	116	0.539535
16	u	ú	83	0.386047
17	c	ç	29	0.935484
18	a	x	11	0.004190
19	a	f	10	0.003810
20	a	ó	10	0.003810
